id,title,priority,owner,reviewer,initial_status,depends_on,issues,capabilities,write_scopes,required_acceptance,task_ref
SR-PUBLIC-001,公开入口／callback／版本清單修復準備,P0,Codex2,Codex,backlog,,R01;R29,C001;C124,tools/system-remediation/public-entry/system-remediation-endpoints.py;docs/04-uat/system-remediation-20260906/public-entry-repair.md;tests/unit/system-remediation/sr-public-001/;docs/04-uat/system-remediation-20260906/SR-PUBLIC-001.md,,docs/03-runbooks/system-remediation-20260906/SR-PUBLIC-001.md
SR-OPS-PROOF-001,備份還原／容量／背景部署可驗證方案,P1,Claude2,Claude,backlog,,,C122;C123;C124,tools/system-remediation/ops-proof/;tests/unit/system-remediation/sr-ops-proof-001/;docs/04-uat/system-remediation-20260906/SR-OPS-PROOF-001.md,,docs/03-runbooks/system-remediation-20260906/SR-OPS-PROOF-001.md
SR-SCOPE-001,排除範圍與全能力追溯驗收表,P2,Gemini2,Gemini,backlog,,,C126;C127;C128;C129;C130;C131;C132;C133,docs/04-uat/system-remediation-20260906/scope-and-coverage.md;tests/unit/system-remediation/sr-scope-001/;docs/04-uat/system-remediation-20260906/SR-SCOPE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-SCOPE-001.md
SR-LIVE-ENTRY-001,公開入口和正式角色登入驗收,P1,Codex,Codex2,blocked,SR-READINESS-001;SR-PUBLIC-001;SR-TENANT-LOGIN-001;SR-IAM-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C001;C003,tests/unit/system-remediation/sr-live-entry-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-ENTRY-001.md;tests/e2e/system-remediation/sr-live-entry-001/,authorized_environment_change;public_dns_tls_readback;legitimate_role_accounts;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-ENTRY-001.md
SR-LIVE-MAIL-001,邀請與簽核真郵件驗收,P1,Claude,Claude2,blocked,SR-READINESS-001;SR-MAIL-001;SR-MAIL-002;SR-UAT-HARNESS-001;SR-RELEASE-001,,C006;C026;C079,tests/unit/system-remediation/sr-live-mail-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-MAIL-001.md;tests/e2e/system-remediation/sr-live-mail-001/,authorized_test_mailbox;configured_mail_provider;provider_message_receipts;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-MAIL-001.md
SR-LIVE-PUSH-001,真裝置乘客通知驗收,P1,Gemini,Gemini2,blocked,SR-READINESS-001;SR-PUSH-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C023,tests/unit/system-remediation/sr-live-push-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-PUSH-001.md;tests/e2e/system-remediation/sr-live-push-001/,authorized_test_device;push_provider_account;device_delivery_evidence;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-PUSH-001.md
SR-LIVE-DOC-001,正式受控檔案與銀行密碼學驗證驗收,P1,Codex2,Codex,blocked,SR-READINESS-001;SR-INVOICE-001;SR-PLACARD-001;SR-REPORT-001;SR-BANK-003;SR-UAT-HARNESS-001;SR-RELEASE-001,,C078;C083;C097;C125,tests/unit/system-remediation/sr-live-doc-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-DOC-001.md;tests/e2e/system-remediation/sr-live-doc-001/,authorized_storage_and_signer;role_scoped_artifact_download;independent_signature_verification;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-DOC-001.md
SR-LIVE-FINANCE-001,金流／issuer／ERP sandbox整合驗收,P1,Claude2,Claude,blocked,SR-READINESS-001;SR-QA-FINANCE-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C029;C075;C113,tests/unit/system-remediation/sr-live-finance-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-FINANCE-001.md;tests/e2e/system-remediation/sr-live-finance-001/,authorized_financial_sandbox;issuer_eligibility_receipts;payment_recovery_reconciliation;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-FINANCE-001.md
SR-LIVE-MAP-001,真地圖／定位／ETA驗收,P1,Gemini2,Gemini,blocked,SR-READINESS-001;SR-OPS-MAP-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C114,tests/unit/system-remediation/sr-live-map-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-MAP-001.md;tests/e2e/system-remediation/sr-live-map-001/,configured_map_credentials;authorized_location_test;map_eta_provider_evidence;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-MAP-001.md
SR-LIVE-DRIVER-001,Android／iOS native生命周期驗收,P1,Codex,Codex2,blocked,SR-READINESS-001;SR-DRIVER-WEB-001;SR-QA-DRIVER-001;SR-WIRE-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C049;C050;C051;C053;C054;C055;C056;C057;C058;C060;C061;C062,tests/unit/system-remediation/sr-live-driver-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-DRIVER-001.md;tests/e2e/system-remediation/sr-live-driver-001/,authorized_android_ios_devices;native_build_candidate;background_offline_sos_evidence;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-DRIVER-001.md
SR-LIVE-FORWARD-001,第三方轉單正式sandbox回執驗收,P1,Claude,Claude2,blocked,SR-READINESS-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C033;C034,tests/unit/system-remediation/sr-live-forward-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-FORWARD-001.md;tests/e2e/system-remediation/sr-live-forward-001/,authorized_forwarder_sandbox;signed_ingress_egress_receipts;cancel_lost_race_reconciliation;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-FORWARD-001.md
SR-LIVE-OPS-001,部署排程／備份還原與容量驗收,P1,Gemini,Gemini2,blocked,SR-READINESS-001;SR-OPS-PROOF-001;SR-QA-CONCURRENCY-001;SR-UAT-HARNESS-001;SR-RELEASE-001,,C122;C123;C124,tests/unit/system-remediation/sr-live-ops-001/;docs/04-uat/system-remediation-20260906/SR-LIVE-OPS-001.md;tests/e2e/system-remediation/sr-live-ops-001/,authorized_isolated_ops_target;backup_restore_readback;rpo_rto_capacity_baseline;scheduled_job_restart_proof;live_candidate_sha,docs/03-runbooks/system-remediation-20260906/SR-LIVE-OPS-001.md
SR-RELEASE-001,整合候選與全角色本機／dev可重跑閉環,P1,Codex2,Codex,backlog,SR-QA-IDENTITY-001;SR-QA-TENANT-001;SR-QA-BOOKING-001;SR-QA-DISPATCH-001;SR-QA-CALL-001;SR-QA-DRIVER-001;SR-QA-SUPPLY-001;SR-QA-FINANCE-001;SR-QA-REPORTS-001;SR-QA-GOVERNANCE-001;SR-QA-WEBHOOK-001;SR-QA-CONCURRENCY-001;SR-QA-UX-001;SR-QA-NEWFEATURES-001;SR-SCOPE-001,,C118,docs/04-uat/system-remediation-20260906/release-candidate.json;docs/04-uat/system-remediation-20260906/closed-loop-evidence.md;tests/unit/system-remediation/sr-release-001/;docs/04-uat/system-remediation-20260906/SR-RELEASE-001.md,,docs/03-runbooks/system-remediation-20260906/SR-RELEASE-001.md
SR-ACCEPT-001,正式環境證據彙總與剩餘缺口關閉,P1,Claude2,Claude,backlog,SR-RELEASE-001;SR-LIVE-ENTRY-001;SR-LIVE-MAIL-001;SR-LIVE-PUSH-001;SR-LIVE-DOC-001;SR-LIVE-FINANCE-001;SR-LIVE-MAP-001;SR-LIVE-DRIVER-001;SR-LIVE-FORWARD-001;SR-LIVE-OPS-001;UV-EXEC-028,,,docs/04-uat/system-remediation-20260906/final-acceptance.md;tests/unit/system-remediation/sr-accept-001/;docs/04-uat/system-remediation-20260906/SR-ACCEPT-001.md,full_system_candidate_sha;full_system_role_journey_evidence,docs/03-runbooks/system-remediation-20260906/SR-ACCEPT-001.md
